1105022024446954311                                      ARQUIVOCAIXA1234500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2100000000009801012022202215219839805                                                      Joana dos Santos3112196900000000098                                                        Josefa Pereira01000596.99040502202431122024000000000000000000005555622170CC43952669605952310000000
2100000000009901012022202215389089875                                                          Alan Barbosa3112196900000000099                                                       Roberta Barbosa01000789.00100502202431122024000000000000000000009999774484CD02753044087951710000000
2100000000010001012022202235608862371                                                       Roberta Barbosa3112196900000000100                                                       Roberta Barbosa01000653.58020502202431122024000000000000000000009999867126PP74126832795198310000000
2100000000010101012022202266321672882                                                        Pedro Monteiro3112196900000000101                                                      Joana dos Santos01000838.84020502202431122024000000000000000000000000652973CD24750762536500720000000
2100000000010201012022202275936301474                                                        Pedro Monteiro3112196900000000102                                                        Josefa Pereira01000513.53030502202431122024000000000000000000009999286343PP06564437483780810000000
2100000000010301012022202278608029479                                                       Roberta Barbosa3112196900000000103                                                       Roberta Barbosa01000955.96030502202431122024000000000000000000009999183952CD99664484144148120000000
2100000000010401012022202272640376468                                                       Roberta Barbosa3112196900000000104                                                        Josefa Pereira01000749.91060502202431122024000000000000000000009999413762CC89220734259833730000000
2100000000010501012022202257502088078                                                       Carlos Fabrício3112196900000000105                                                        Josefa Pereira01000827.04020502202431122024000000000000000000009999505257CD84730230493284710000000
2100000000010601012022202281443210573                                                       Carlos Fabrício3112196900000000106                                                       Roberta Barbosa01001125.73040502202431122024000000000000000000005555940559CD96439778784750110000000
2100000000010701012022202204364299577                                                       Roberta Barbosa3112196900000000107                                                        Josefa Pereira01000180.98040502202431122024000000000000000000005555541390CD76515304112755010000000
2100000000010801012022202213366251624                                                       Roberta Barbosa3112196900000000108                                                        Maria da Silva01000555.59020502202431122024000000000000000000009999003898CD36759794406701910000000
2100000000010901012022202239364401267                                                       Roberta Barbosa3112196900000000109                                                      Joana dos Santos01000124.84120502202431122024000000000000000000000000974796CC72146551712276130000000
2100000000011001012022202250981998175                                                      Victor Czarnobay3112196900000000110                                                        Josefa Pereira01000043.38110502202431122024000000000000000000000000704814CC52329418286255110000000
2100000000011101012022202287889357603                                                      Victor Czarnobay3112196900000000111                                                        Josefa Pereira01000917.81110502202431122024000000000000000000009999050948CD57041714766971330000000
2100000000011201012022202280342695616                                                        Josefa Pereira3112196900000000112                                                      Joana dos Santos01000284.77010502202431122024000000000000000000000000490597CC10583741099586430000000
2100000000011301012022202243682615854                                                       Carlos Fabrício3112196900000000113                                                        Josefa Pereira01000385.80050502202431122024000000000000000000005555373183CD08011814856013710000000
2100000000011401012022202262366247043                                                          Alan Barbosa3112196900000000114                                                        Maria da Silva01000626.65020502202431122024000000000000000000009999216509CC90386286300005230000000
2100000000011501012022202278574416605                                                          Alan Barbosa3112196900000000115                                                        Josefa Pereira01000182.60040502202431122024000000000000000000009999591983PP86853014803163920000000
2100000000011601012022202286422414975                                                        Maria da Silva3112196900000000116                                                      Joana dos Santos01001187.97060502202431122024000000000000000000005555383312CC97322463285742110000000
2100000000011701012022202271050920110                                                        Josefa Pereira3112196900000000117                                                       Roberta Barbosa01000481.69060502202431122024000000000000000000005555452332PP05175306525719820000000
2100000000011801012022202226077433160                                                          Alan Barbosa3112196900000000118                                                      Joana dos Santos01000174.64070502202431122024000000000000000000005555970279PP45536196503333620000000
2100000000011901012022202232402475142                                                     Cristiano Ronaldo3112196900000000119                                                        Josefa Pereira01000999.76040502202431122024000000000000000000000000292068CC19471212749489210000000
2100000000012001012022202251438896345                                                       Carlos Fabrício3112196900000000120                                                        Maria da Silva01000698.31070502202431122024000000000000000000005555059911CD93284068873997020000000
2100000000012101012022202279311872891                                                        Pedro Monteiro3112196900000000121                                                        Maria da Silva01000508.59050502202431122024000000000000000000005555320935CD57445088977080830000000
2100000000012201012022202205296690184                                                      Victor Czarnobay3112196900000000122                                                      Joana dos Santos01000014.27090502202431122024000000000000000000005555548938CC78464880069336120000000
2100000000012301012022202233712210136                                                        Maria da Silva3112196900000000123                                                      Joana dos Santos01000348.40080502202431122024000000000000000000000000411646CC59103287596854420000000
2100000000012401012022202294865529264                                                        Josefa Pereira3112196900000000124                                                       Roberta Barbosa01000138.53030502202431122024000000000000000000000000548494PP81819130786780330000000
2100000000012501012022202278351200477                                                      Victor Czarnobay3112196900000000125                                                        Maria da Silva01000463.21040502202431122024000000000000000000000000948671CD55749304081834730000000
2100000000012601012022202275535124126                                                          Alan Barbosa3112196900000000126                                                        Maria da Silva01000795.05070502202431122024000000000000000000000000718744PP60900291115625510000000
2100000000012701012022202299778746271                                                          Alan Barbosa3112196900000000127                                                        Josefa Pereira01000487.89030502202431122024000000000000000000000000163992CD95795152067612910000000
2100000000012801012022202248157340094                                                      Victor Czarnobay3112196900000000128                                                       Roberta Barbosa01000251.46090502202431122024000000000000000000005555568351PP55942150413943120000000
2100000000012901012022202287166039372                                                        Pedro Monteiro3112196900000000129                                                      Joana dos Santos01000736.83090502202431122024000000000000000000000000992787PP39920041824164810000000
2100000000013001012022202273338042923                                                        Pedro Monteiro3112196900000000130                                                        Josefa Pereira01000352.89060502202431122024000000000000000000005555424182PP58442545460898630000000
2100000000013101012022202206302919140                                                     Cristiano Ronaldo3112196900000000131                                                        Josefa Pereira01000897.08040502202431122024000000000000000000009999985608PP91216096664279820000000
2100000000013201012022202201176461818                                                      Joana dos Santos3112196900000000132                                                       Roberta Barbosa01000629.72050502202431122024000000000000000000009999751163CC86906192787779610000000
2100000000013301012022202214165324865                                                       Carlos Fabrício3112196900000000133                                                        Maria da Silva01000834.65050502202431122024000000000000000000005555803711CD61618405599045210000000
2100000000013401012022202202195460101                                                          Alan Barbosa3112196900000000134                                                        Maria da Silva01000398.88120502202431122024000000000000000000000000227255CD62852406097695020000000
2100000000013501012022202218830597298                                                        Pedro Monteiro3112196900000000135                                                        Maria da Silva01000471.34040502202431122024000000000000000000009999785005CC64067688430966430000000
2100000000013601012022202283321435723                                                          Alan Barbosa3112196900000000136                                                       Roberta Barbosa01001182.19060502202431122024000000000000000000000000185197CD10163458161316020000000
2100000000013701012022202275056934967                                                     Cristiano Ronaldo3112196900000000137                                                      Joana dos Santos01000850.61070502202431122024000000000000000000009999609735CC42646488984269230000000
2100000000013801012022202283262287773                                                        Josefa Pereira3112196900000000138                                                      Joana dos Santos01000260.09040502202431122024000000000000000000005555782657CD37172667566466030000000
2100000000013901012022202285014459912                                                        Pedro Monteiro3112196900000000139                                                       Roberta Barbosa01000013.62110502202431122024000000000000000000005555690194CD03345610323128730000000
2100000000014001012022202200725177800                                                      Joana dos Santos3112196900000000140                                                      Joana dos Santos01001116.76040502202431122024000000000000000000000000595617CC35475299868475710000000
2100000000014101012022202282103560442                                                          Alan Barbosa3112196900000000141                                                      Joana dos Santos01000013.99030502202431122024000000000000000000009999492943CC35598090030722510000000
2100000000014201012022202265470127212                                                        Maria da Silva3112196900000000142                                                       Roberta Barbosa01001187.57110502202431122024000000000000000000005555128609CC06393753717112320000000
2100000000014301012022202219793686068                                                       Carlos Fabrício3112196900000000143                                                        Maria da Silva01000475.51090502202431122024000000000000000000000000500954CD22202602267983230000000
2100000000014401012022202245454684994                                                        Pedro Monteiro3112196900000000144                                                       Roberta Barbosa01000779.60050502202431122024000000000000000000005555565641CC03706277533943230000000
2100000000014501012022202225739864230                                                          Alan Barbosa3112196900000000145                                                      Joana dos Santos01000649.43030502202431122024000000000000000000005555146241CD41637361701484320000000
2100000000014601012022202261774448853                                                        Josefa Pereira3112196900000000146                                                        Josefa Pereira01000671.29100502202431122024000000000000000000000000358355PP20771994682151510000000
2100000000014701012022202297220427959                                                       Carlos Fabrício3112196900000000147                                                        Josefa Pereira01000885.74070502202431122024000000000000000000000000672264CD17057900223910030000000
2100000000014801012022202274974079552                                                        Pedro Monteiro3112196900000000148                                                       Roberta Barbosa01000205.10040502202431122024000000000000000000000000192636PP95949426323462120000000
2100000000014901012022202292383338381                                                        Pedro Monteiro3112196900000000149                                                        Maria da Silva01000558.23030502202431122024000000000000000000000000161969PP27483330996845530000000
2100000000015001012022202253509355746                                                          Alan Barbosa3112196900000000150                                                        Maria da Silva01000486.68040502202431122024000000000000000000000000799641PP46788916820601120000000
2100000000015101012022202209536490005                                                          Alan Barbosa3112196900000000151                                                      Joana dos Santos01000180.21120502202431122024000000000000000000000000527891CD48854255898273110000000
2100000000015201012022202221092411359                                                        Pedro Monteiro3112196900000000152                                                      Joana dos Santos01000599.06070502202431122024000000000000000000005555897235PP02085472925681530000000
2100000000015301012022202219112967440                                                        Pedro Monteiro3112196900000000153                                                        Maria da Silva01000130.61050502202431122024000000000000000000009999022726CC18259305402380830000000
2100000000015401012022202263702708780                                                        Josefa Pereira3112196900000000154                                                      Joana dos Santos01000563.34060502202431122024000000000000000000005555061942CC09418357877591130000000
2100000000015501012022202290506075877                                                       Roberta Barbosa3112196900000000155                                                      Joana dos Santos01001040.20070502202431122024000000000000000000005555807862PP18682820668613620000000
2100000000015601012022202206059132189                                                     Cristiano Ronaldo3112196900000000156                                                      Joana dos Santos01000190.33050502202431122024000000000000000000005555109590PP25952295869215530000000
2100000000015701012022202226440000100                                                       Carlos Fabrício3112196900000000157                                                      Joana dos Santos01000189.70110502202431122024000000000000000000000000705891CD32622100546552810000000
2100000000015801012022202264444499051                                                       Carlos Fabrício3112196900000000158                                                      Joana dos Santos01000325.55090502202431122024000000000000000000005555761074CD72374676272504720000000
2100000000015901012022202265845499400                                                       Roberta Barbosa3112196900000000159                                                        Maria da Silva01000019.89100502202431122024000000000000000000009999620679CD21001281265398930000000
2100000000016001012022202234736785767                                                       Carlos Fabrício3112196900000000160                                                        Maria da Silva01000252.89120502202431122024000000000000000000009999694389CD26193121078527710000000
