1106022024446954311ARQUIVOCAIXA                                      1234500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2100000000009801012022202215219839805Joana dos Santos                                                      3112196900000000098Josefa Pereira                                                        01000596.99040502202431122024000000000000000000005555622170CC43952669605952310000000
2100000000009901012022202215389089875Alan Barbosa                                                          3112196900000000099Roberta Barbosa                                                       01000789.00100502202431122024000000000000000000009999774484CD02753044087951710000000
2100000000010001012022202235608862371Roberta Barbosa                                                       3112196900000000100Roberta Barbosa                                                       01000653.58020502202431122024000000000000000000009999867126PP74126832795198310000000
2100000000010101012022202266321672882Pedro Monteiro                                                        3112196900000000101Joana dos Santos                                                      01000838.84020502202431122024000000000000000000000000652973CD24750762536500720000000
2100000000010201012022202275936301474Pedro Monteiro                                                        3112196900000000102Josefa Pereira                                                        01000513.53030502202431122024000000000000000000009999286343PP06564437483780810000000
2100000000010301012022202278608029479Roberta Barbosa                                                       3112196900000000103Roberta Barbosa                                                       01000955.96030502202431122024000000000000000000009999183952CD99664484144148120000000
2100000000010401012022202272640376468Roberta Barbosa                                                       3112196900000000104Josefa Pereira                                                        01000749.91060502202431122024000000000000000000009999413762CC89220734259833730000000
2100000000010501012022202257502088078Carlos Fabrício                                                       3112196900000000105Josefa Pereira                                                        01000827.04020502202431122024000000000000000000009999505257CD84730230493284710000000
2100000000010601012022202281443210573Carlos Fabrício                                                       3112196900000000106Roberta Barbosa                                                       01001125.73040502202431122024000000000000000000005555940559CD96439778784750110000000
2100000000010701012022202204364299577Roberta Barbosa                                                       3112196900000000107Josefa Pereira                                                        01000180.98040502202431122024000000000000000000005555541390CD76515304112755010000000
2100000000010801012022202213366251624Roberta Barbosa                                                       3112196900000000108Maria da Silva                                                        01000555.59020502202431122024000000000000000000009999003898CD36759794406701910000000
2100000000010901012022202239364401267Roberta Barbosa                                                       3112196900000000109Joana dos Santos                                                      01000124.84120502202431122024000000000000000000000000974796CC72146551712276130000000
2100000000011001012022202250981998175Victor Czarnobay                                                      3112196900000000110Josefa Pereira                                                        01000043.38110502202431122024000000000000000000000000704814CC52329418286255110000000
2100000000011101012022202287889357603Victor Czarnobay                                                      3112196900000000111Josefa Pereira                                                        01000917.81110502202431122024000000000000000000009999050948CD57041714766971330000000
2100000000011201012022202280342695616Josefa Pereira                                                        3112196900000000112Joana dos Santos                                                      01000284.77010502202431122024000000000000000000000000490597CC10583741099586430000000
2100000000011301012022202243682615854Carlos Fabrício                                                       3112196900000000113Josefa Pereira                                                        01000385.80050502202431122024000000000000000000005555373183CD08011814856013710000000
2100000000011401012022202262366247043Alan Barbosa                                                          3112196900000000114Maria da Silva                                                        01000626.65020502202431122024000000000000000000009999216509CC90386286300005230000000
2100000000011501012022202278574416605Alan Barbosa                                                          3112196900000000115Josefa Pereira                                                        01000182.60040502202431122024000000000000000000009999591983PP86853014803163920000000
2100000000011601012022202286422414975Maria da Silva                                                        3112196900000000116Joana dos Santos                                                      01001187.97060502202431122024000000000000000000005555383312CC97322463285742110000000
2100000000011701012022202271050920110Josefa Pereira                                                        3112196900000000117Roberta Barbosa                                                       01000481.69060502202431122024000000000000000000005555452332PP05175306525719820000000
2100000000011801012022202226077433160Alan Barbosa                                                          3112196900000000118Joana dos Santos                                                      01000174.64070502202431122024000000000000000000005555970279PP45536196503333620000000
2100000000011901012022202232402475142Cristiano Ronaldo                                                     3112196900000000119Josefa Pereira                                                        01000999.76040502202431122024000000000000000000000000292068CC19471212749489210000000
2100000000012001012022202251438896345Carlos Fabrício                                                       3112196900000000120Maria da Silva                                                        01000698.31070502202431122024000000000000000000005555059911CD93284068873997020000000
2100000000012101012022202279311872891Pedro Monteiro                                                        3112196900000000121Maria da Silva                                                        01000508.59050502202431122024000000000000000000005555320935CD57445088977080830000000
2100000000012201012022202205296690184Victor Czarnobay                                                      3112196900000000122Joana dos Santos                                                      01000014.27090502202431122024000000000000000000005555548938CC78464880069336120000000
2100000000012301012022202233712210136Maria da Silva                                                        3112196900000000123Joana dos Santos                                                      01000348.40080502202431122024000000000000000000000000411646CC59103287596854420000000
2100000000012401012022202294865529264Josefa Pereira                                                        3112196900000000124Roberta Barbosa                                                       01000138.53030502202431122024000000000000000000000000548494PP81819130786780330000000
2100000000012501012022202278351200477Victor Czarnobay                                                      3112196900000000125Maria da Silva                                                        01000463.21040502202431122024000000000000000000000000948671CD55749304081834730000000
2100000000012601012022202275535124126Alan Barbosa                                                          3112196900000000126Maria da Silva                                                        01000795.05070502202431122024000000000000000000000000718744PP60900291115625510000000
2100000000012701012022202299778746271Alan Barbosa                                                          3112196900000000127Josefa Pereira                                                        01000487.89030502202431122024000000000000000000000000163992CD95795152067612910000000
2100000000012801012022202248157340094Victor Czarnobay                                                      3112196900000000128Roberta Barbosa                                                       01000251.46090502202431122024000000000000000000005555568351PP55942150413943120000000
2100000000012901012022202287166039372Pedro Monteiro                                                        3112196900000000129Joana dos Santos                                                      01000736.83090502202431122024000000000000000000000000992787PP39920041824164810000000
2100000000013001012022202273338042923Pedro Monteiro                                                        3112196900000000130Josefa Pereira                                                        01000352.89060502202431122024000000000000000000005555424182PP58442545460898630000000
2100000000013101012022202206302919140Cristiano Ronaldo                                                     3112196900000000131Josefa Pereira                                                        01000897.08040502202431122024000000000000000000009999985608PP91216096664279820000000
2100000000013201012022202201176461818Joana dos Santos                                                      3112196900000000132Roberta Barbosa                                                       01000629.72050502202431122024000000000000000000009999751163CC86906192787779610000000
2100000000013301012022202214165324865Carlos Fabrício                                                       3112196900000000133Maria da Silva                                                        01000834.65050502202431122024000000000000000000005555803711CD61618405599045210000000
2100000000013401012022202202195460101Alan Barbosa                                                          3112196900000000134Maria da Silva                                                        01000398.88120502202431122024000000000000000000000000227255CD62852406097695020000000
2100000000013501012022202218830597298Pedro Monteiro                                                        3112196900000000135Maria da Silva                                                        01000471.34040502202431122024000000000000000000009999785005CC64067688430966430000000
2100000000013601012022202283321435723Alan Barbosa                                                          3112196900000000136Roberta Barbosa                                                       01001182.19060502202431122024000000000000000000000000185197CD10163458161316020000000
2100000000013701012022202275056934967Cristiano Ronaldo                                                     3112196900000000137Joana dos Santos                                                      01000850.61070502202431122024000000000000000000009999609735CC42646488984269230000000
2100000000013801012022202283262287773Josefa Pereira                                                        3112196900000000138Joana dos Santos                                                      01000260.09040502202431122024000000000000000000005555782657CD37172667566466030000000
2100000000013901012022202285014459912Pedro Monteiro                                                        3112196900000000139Roberta Barbosa                                                       01000013.62110502202431122024000000000000000000005555690194CD03345610323128730000000
2100000000014001012022202200725177800Joana dos Santos                                                      3112196900000000140Joana dos Santos                                                      01001116.76040502202431122024000000000000000000000000595617CC35475299868475710000000
2100000000014101012022202282103560442Alan Barbosa                                                          3112196900000000141Joana dos Santos                                                      01000013.99030502202431122024000000000000000000009999492943CC35598090030722510000000
2100000000014201012022202265470127212Maria da Silva                                                        3112196900000000142Roberta Barbosa                                                       01001187.57110502202431122024000000000000000000005555128609CC06393753717112320000000
2100000000014301012022202219793686068Carlos Fabrício                                                       3112196900000000143Maria da Silva                                                        01000475.51090502202431122024000000000000000000000000500954CD22202602267983230000000
2100000000014401012022202245454684994Pedro Monteiro                                                        3112196900000000144Roberta Barbosa                                                       01000779.60050502202431122024000000000000000000005555565641CC03706277533943230000000
2100000000014501012022202225739864230Alan Barbosa                                                          3112196900000000145Joana dos Santos                                                      01000649.43030502202431122024000000000000000000005555146241CD41637361701484320000000
2100000000014601012022202261774448853Josefa Pereira                                                        3112196900000000146Josefa Pereira                                                        01000671.29100502202431122024000000000000000000000000358355PP20771994682151510000000
2100000000014701012022202297220427959Carlos Fabrício                                                       3112196900000000147Josefa Pereira                                                        01000885.74070502202431122024000000000000000000000000672264CD17057900223910030000000
2100000000014801012022202274974079552Pedro Monteiro                                                        3112196900000000148Roberta Barbosa                                                       01000205.10040502202431122024000000000000000000000000192636PP95949426323462120000000
2100000000014901012022202292383338381Pedro Monteiro                                                        3112196900000000149Maria da Silva                                                        01000558.23030502202431122024000000000000000000000000161969PP27483330996845530000000
2100000000015001012022202253509355746Alan Barbosa                                                          3112196900000000150Maria da Silva                                                        01000486.68040502202431122024000000000000000000000000799641PP46788916820601120000000
2100000000015101012022202209536490005Alan Barbosa                                                          3112196900000000151Joana dos Santos                                                      01000180.21120502202431122024000000000000000000000000527891CD48854255898273110000000
2100000000015201012022202221092411359Pedro Monteiro                                                        3112196900000000152Joana dos Santos                                                      01000599.06070502202431122024000000000000000000005555897235PP02085472925681530000000
2100000000015301012022202219112967440Pedro Monteiro                                                        3112196900000000153Maria da Silva                                                        01000130.61050502202431122024000000000000000000009999022726CC18259305402380830000000
2100000000015401012022202263702708780Josefa Pereira                                                        3112196900000000154Joana dos Santos                                                      01000563.34060502202431122024000000000000000000005555061942CC09418357877591130000000
2100000000015501012022202290506075877Roberta Barbosa                                                       3112196900000000155Joana dos Santos                                                      01001040.20070502202431122024000000000000000000005555807862PP18682820668613620000000
2100000000015601012022202206059132189Cristiano Ronaldo                                                     3112196900000000156Joana dos Santos                                                      01000190.33050502202431122024000000000000000000005555109590PP25952295869215530000000
2100000000015701012022202226440000100Carlos Fabrício                                                       3112196900000000157Joana dos Santos                                                      01000189.70110502202431122024000000000000000000000000705891CD32622100546552810000000
2100000000015801012022202264444499051Carlos Fabrício                                                       3112196900000000158Joana dos Santos                                                      01000325.55090502202431122024000000000000000000005555761074CD72374676272504720000000
2100000000015901012022202265845499400Roberta Barbosa                                                       3112196900000000159Maria da Silva                                                        01000019.89100502202431122024000000000000000000009999620679CD21001281265398930000000
2100000000016001012022202234736785767Carlos Fabrício                                                       3112196900000000160Maria da Silva                                                        01000252.89120502202431122024000000000000000000009999694389CD26193121078527710000000
