1106022024446954311                                      ARQUIVOCAIXA1234500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2100000000006001012022202214326002782                                                       Roberta Barbosa3112196900000000060                                                      Joana dos Santos01000539.33010502202431122024000000000000000000009999776627CD69539523629375110000000
2100000000006101012022202233696693890                                                        Pedro Monteiro3112196900000000061                                                        Maria da Silva01000203.19020502202431122024000000000000000000000000391576CD45234800495419530000000
2100000000006201012022202297862752473                                                        Maria da Silva3112196900000000062                                                      Joana dos Santos01000453.71100502202431122024000000000000000000005555177173CD61156470926382010000000
2100000000006301012022202222125529383                                                      Victor Czarnobay3112196900000000063                                                        Maria da Silva01000719.50110502202431122024000000000000000000005555401601PP50899732530254330000000
2100000000006401012022202281955621622                                                        Pedro Monteiro3112196900000000064                                                       Roberta Barbosa01000684.82030502202431122024000000000000000000000000732888CC47776567415397310000000
2100000000006501012022202237196255515                                                      Victor Czarnobay3112196900000000065                                                        Josefa Pereira01000668.32110502202431122024000000000000000000005555501269PP90346431523919330000000
2100000000006601012022202204766782204                                                       Carlos Fabrício3112196900000000066                                                        Maria da Silva01000483.94040502202431122024000000000000000000000000168680CD12917415253954410000000
2100000000006701012022202254823517365                                                        Pedro Monteiro3112196900000000067                                                        Josefa Pereira01000539.39090502202431122024000000000000000000000000014106CD20669021985618830000000
2100000000006801012022202263422109647                                                       Carlos Fabrício3112196900000000068                                                        Maria da Silva01000384.22120502202431122024000000000000000000005555441092PP91039467232707930000000
2100000000006901012022202286175050221                                                       Carlos Fabrício3112196900000000069                                                      Joana dos Santos01000885.33030502202431122024000000000000000000005555475929CC95735157725396310000000
2100000000007001012022202253420436346                                                     Cristiano Ronaldo3112196900000000070                                                       Roberta Barbosa01000371.88120502202431122024000000000000000000005555999082CC62307795441596530000000
2100000000007101012022202252385741797                                                      Victor Czarnobay3112196900000000071                                                       Roberta Barbosa01000628.87030502202431122024000000000000000000005555832455CD38267732773456310000000
2100000000007201012022202217844362250                                                       Carlos Fabrício3112196900000000072                                                      Joana dos Santos01000419.33050502202431122024000000000000000000005555544736CC69553376836030630000000
2100000000007301012022202296779943871                                                        Maria da Silva3112196900000000073                                                       Roberta Barbosa01000582.91050502202431122024000000000000000000009999677600CD68656694746176620000000
2100000000007401012022202254221644664                                                      Joana dos Santos3112196900000000074                                                        Josefa Pereira01000163.60040502202431122024000000000000000000005555812670PP78400546453654220000000
2100000000007501012022202256423301405                                                     Cristiano Ronaldo3112196900000000075                                                        Josefa Pereira01000723.89070502202431122024000000000000000000009999004032PP63969040742260030000000
2100000000007601012022202226852969873                                                       Carlos Fabrício3112196900000000076                                                       Roberta Barbosa01001137.27120502202431122024000000000000000000005555315857CC07872755882474410000000
2100000000007701012022202246782274353                                                        Pedro Monteiro3112196900000000077                                                        Maria da Silva01000742.06110502202431122024000000000000000000005555618058CC68489222524373210000000
2100000000007801012022202279465815603                                                        Maria da Silva3112196900000000078                                                      Joana dos Santos01000899.77050502202431122024000000000000000000000000128634CC79538687589927020000000
2100000000007901012022202265275807800                                                       Carlos Fabrício3112196900000000079                                                        Josefa Pereira01000572.28080502202431122024000000000000000000005555864823CC40655603463678330000000
2100000000008001012022202271990563033                                                      Joana dos Santos3112196900000000080                                                        Josefa Pereira01000488.91100502202431122024000000000000000000009999190077CD04387910416427720000000
2100000000008101012022202277636465265                                                       Carlos Fabrício3112196900000000081                                                        Josefa Pereira01000749.53110502202431122024000000000000000000005555713894CD93056437574428330000000
2100000000008201012022202289956141275                                                        Maria da Silva3112196900000000082                                                       Roberta Barbosa01001007.72050502202431122024000000000000000000000000116376CC32168883442319820000000
2100000000008301012022202291329258447                                                      Joana dos Santos3112196900000000083                                                        Josefa Pereira01000620.73120502202431122024000000000000000000000000566203PP91019147502757130000000
2100000000008401012022202268175659441                                                        Maria da Silva3112196900000000084                                                      Joana dos Santos01000884.76100502202431122024000000000000000000005555061051PP54573467217145810000000
2100000000008501012022202210111634983                                                        Josefa Pereira3112196900000000085                                                        Maria da Silva01000601.63060502202431122024000000000000000000005555509540PP09312648680479730000000
2100000000008601012022202285793465602                                                        Pedro Monteiro3112196900000000086                                                        Josefa Pereira01000573.90040502202431122024000000000000000000005555121240PP47396637541679920000000
2100000000008701012022202287443761329                                                        Josefa Pereira3112196900000000087                                                       Roberta Barbosa01001203.33010502202431122024000000000000000000005555649426PP53925560555532830000000
2100000000008801012022202221979237395                                                     Cristiano Ronaldo3112196900000000088                                                        Josefa Pereira01001046.23010502202431122024000000000000000000000000530547PP96783605033942110000000
2100000000008901012022202256698546097                                                        Maria da Silva3112196900000000089                                                      Joana dos Santos01000304.43020502202431122024000000000000000000000000492111PP56446774260468220000000
2100000000009001012022202282783254693                                                        Maria da Silva3112196900000000090                                                      Joana dos Santos01000944.78120502202431122024000000000000000000005555312740PP79113422955019830000000
2100000000009101012022202262810397647                                                       Carlos Fabrício3112196900000000091                                                        Maria da Silva01001076.36120502202431122024000000000000000000005555630209PP94136288651289010000000
2100000000009201012022202297249902019                                                       Roberta Barbosa3112196900000000092                                                        Josefa Pereira01001018.82020502202431122024000000000000000000009999088336PP59592645132785020000000
2100000000009301012022202224355686213                                                        Pedro Monteiro3112196900000000093                                                       Roberta Barbosa01000652.80060502202431122024000000000000000000000000300430CD18302134574019410000000
2100000000009401012022202227870057401                                                      Victor Czarnobay3112196900000000094                                                      Joana dos Santos01000782.71050502202431122024000000000000000000005555246366CC19552537882903020000000
2100000000009501012022202270273697002                                                      Joana dos Santos3112196900000000095                                                      Joana dos Santos01000535.25030502202431122024000000000000000000005555183229PP68456594565722610000000
2100000000009601012022202259930266542                                                     Cristiano Ronaldo3112196900000000096                                                        Maria da Silva01001191.45070502202431122024000000000000000000000000880154PP95881963724128520000000
2100000000009701012022202284396692074                                                       Carlos Fabrício3112196900000000097                                                       Roberta Barbosa01000633.46010502202431122024000000000000000000000000702061CD75574867281506420000000
2100000000009801012022202204788903345                                                        Josefa Pereira3112196900000000098                                                        Maria da Silva01000605.64050502202431122024000000000000000000000000362983CD01976721643834010000000
2100000000009901012022202254839725211                                                        Maria da Silva3112196900000000099                                                        Maria da Silva01000898.36110502202431122024000000000000000000000000906626PP98809386501627210000000
2100000000010001012022202216885275163                                                        Pedro Monteiro3112196900000000100                                                      Joana dos Santos01000053.88050502202431122024000000000000000000005555739095CC96311085678623820000000
2100000000010101012022202226393979649                                                     Cristiano Ronaldo3112196900000000101                                                        Josefa Pereira01000235.46080502202431122024000000000000000000005555039576PP28010567373804730000000
2100000000010201012022202272909763237                                                     Cristiano Ronaldo3112196900000000102                                                        Maria da Silva01000169.42090502202431122024000000000000000000000000276443CC61697586697610130000000
2100000000010301012022202264890933775                                                       Carlos Fabrício3112196900000000103                                                        Maria da Silva01000620.38120502202431122024000000000000000000005555520287CD04391149356326420000000
2100000000010401012022202248428060831                                                       Carlos Fabrício3112196900000000104                                                       Roberta Barbosa01001093.15080502202431122024000000000000000000000000334442PP90102414977584810000000
2100000000010501012022202274019945242                                                      Joana dos Santos3112196900000000105                                                        Josefa Pereira01001029.27100502202431122024000000000000000000009999820567CC14227314717077620000000
2100000000010601012022202272067537831                                                      Victor Czarnobay3112196900000000106                                                      Joana dos Santos01000874.85050502202431122024000000000000000000009999555141CC69921071209828420000000
2100000000010701012022202287033524449                                                          Alan Barbosa3112196900000000107                                                      Joana dos Santos01000914.04120502202431122024000000000000000000009999824692CC44350350381612110000000
2100000000010801012022202249845602355                                                      Joana dos Santos3112196900000000108                                                      Joana dos Santos01001054.56080502202431122024000000000000000000005555649871PP73030062130093220000000
2100000000010901012022202243618989034                                                        Maria da Silva3112196900000000109                                                        Maria da Silva01000064.45040502202431122024000000000000000000005555364337CC33738657709180120000000
2100000000011001012022202253644375123                                                          Alan Barbosa3112196900000000110                                                        Josefa Pereira01000655.28090502202431122024000000000000000000005555983624PP32640896831503610000000
2100000000011101012022202218823329039                                                     Cristiano Ronaldo3112196900000000111                                                       Roberta Barbosa01000637.61010502202431122024000000000000000000000000731646PP09901656035815610000000
2100000000011201012022202206017945273                                                        Maria da Silva3112196900000000112                                                       Roberta Barbosa01000677.54050502202431122024000000000000000000000000025953CC81281956107044810000000
2100000000011301012022202237495983183                                                       Carlos Fabrício3112196900000000113                                                        Josefa Pereira01000513.16060502202431122024000000000000000000005555475516PP20301745559592010000000
2100000000011401012022202281400004370                                                        Maria da Silva3112196900000000114                                                        Josefa Pereira01001086.63050502202431122024000000000000000000009999909448PP91517980837222510000000
2100000000011501012022202291958863230                                                        Pedro Monteiro3112196900000000115                                                        Josefa Pereira01000288.34120502202431122024000000000000000000000000807957CD34099125942601320000000
2100000000011601012022202264289084496                                                        Josefa Pereira3112196900000000116                                                       Roberta Barbosa01000197.15030502202431122024000000000000000000005555152292CC37567890721033120000000
2100000000011701012022202276496401648                                                     Cristiano Ronaldo3112196900000000117                                                        Maria da Silva01000988.54060502202431122024000000000000000000000000888112PP56903092636232630000000
2100000000011801012022202298696099234                                                     Cristiano Ronaldo3112196900000000118                                                        Josefa Pereira01000910.99070502202431122024000000000000000000005555243959PP56488174045031930000000
2100000000011901012022202279138099677                                                        Maria da Silva3112196900000000119                                                        Maria da Silva01000244.66100502202431122024000000000000000000005555993118PP83827915841741130000000
2100000000012001012022202280014781245                                                       Roberta Barbosa3112196900000000120                                                       Roberta Barbosa01000074.00080502202431122024000000000000000000009999058252PP84772993801508710000000
2100000000012101012022202263682627707                                                        Pedro Monteiro3112196900000000121                                                      Joana dos Santos01000271.93090502202431122024000000000000000000005555718520PP85050969971149210000000
2100000000012201012022202296906111330                                                        Maria da Silva3112196900000000122                                                        Maria da Silva01000872.58080502202431122024000000000000000000009999278856PP58133936263065030000000
2100000000012301012022202280228483888                                                       Carlos Fabrício3112196900000000123                                                        Maria da Silva01000727.72090502202431122024000000000000000000005555798275PP21271037102757310000000
2100000000012401012022202209207418991                                                      Victor Czarnobay3112196900000000124                                                        Josefa Pereira01000495.98080502202431122024000000000000000000009999191636PP63659518817357110000000
2100000000012501012022202271521578883                                                          Alan Barbosa3112196900000000125                                                        Maria da Silva01000236.95080502202431122024000000000000000000009999526911CD10321442668219730000000
2100000000012601012022202256306217851                                                       Roberta Barbosa3112196900000000126                                                        Maria da Silva01000027.76070502202431122024000000000000000000005555369660PP09588796372806720000000
2100000000012701012022202228799215786                                                     Cristiano Ronaldo3112196900000000127                                                        Josefa Pereira01000069.32080502202431122024000000000000000000005555477798CD54893469248005430000000
2100000000012801012022202253855089118                                                       Carlos Fabrício3112196900000000128                                                      Joana dos Santos01000165.32050502202431122024000000000000000000005555462477CC94241309821026510000000
2100000000012901012022202271366026392                                                      Victor Czarnobay3112196900000000129                                                      Joana dos Santos01000669.83110502202431122024000000000000000000005555767617CC29342101267425330000000
2100000000013001012022202204572091219                                                          Alan Barbosa3112196900000000130                                                      Joana dos Santos01000170.55010502202431122024000000000000000000005555157045PP52894795169125820000000
2100000000013101012022202291109732158                                                        Maria da Silva3112196900000000131                                                        Josefa Pereira01000573.31120502202431122024000000000000000000005555747003CC74294517317383230000000
2100000000013201012022202239054967369                                                          Alan Barbosa3112196900000000132                                                       Roberta Barbosa01001074.61100502202431122024000000000000000000009999494036PP24135199434657330000000
2100000000013301012022202266808380731                                                        Josefa Pereira3112196900000000133                                                       Roberta Barbosa01000433.34100502202431122024000000000000000000005555205095CC19261927362270320000000
2100000000013401012022202209987442969                                                          Alan Barbosa3112196900000000134                                                        Maria da Silva01000512.17060502202431122024000000000000000000005555763398PP23709602994253030000000
2100000000013501012022202202507496167                                                      Victor Czarnobay3112196900000000135                                                       Roberta Barbosa01000231.64020502202431122024000000000000000000005555302347CC97401553372202530000000
2100000000013601012022202237003414341                                                      Joana dos Santos3112196900000000136                                                        Maria da Silva01000837.50090502202431122024000000000000000000005555451429CC14148015625041210000000
2100000000013701012022202294636519085                                                        Pedro Monteiro3112196900000000137                                                        Josefa Pereira01000192.90070502202431122024000000000000000000005555201092PP97629123414792730000000
2100000000013801012022202215139412653                                                       Carlos Fabrício3112196900000000138                                                      Joana dos Santos01000881.22080502202431122024000000000000000000000000208960PP53913888996921530000000
2100000000013901012022202228780808244                                                          Alan Barbosa3112196900000000139                                                        Maria da Silva01000478.80120502202431122024000000000000000000000000815577CD95748765619474020000000
2100000000014001012022202275170493200                                                      Joana dos Santos3112196900000000140                                                       Roberta Barbosa01001208.95050502202431122024000000000000000000009999656759CD96502449682563410000000
2100000000014101012022202275893214445                                                        Pedro Monteiro3112196900000000141                                                      Joana dos Santos01000987.24090502202431122024000000000000000000005555300751CD92047101415830930000000
2100000000014201012022202278317083751                                                          Alan Barbosa3112196900000000142                                                        Josefa Pereira01001079.73030502202431122024000000000000000000009999594844PP97359257564797930000000
2100000000014301012022202253125894599                                                       Roberta Barbosa3112196900000000143                                                       Roberta Barbosa01001177.28010502202431122024000000000000000000009999442217PP05409811028595020000000
2100000000014401012022202273237630432                                                        Pedro Monteiro3112196900000000144                                                       Roberta Barbosa01000831.12100502202431122024000000000000000000000000735371CC04005945568928920000000
2100000000014501012022202239018100839                                                      Victor Czarnobay3112196900000000145                                                        Maria da Silva01000229.16040502202431122024000000000000000000005555077860CC61390085804805320000000
2100000000014601012022202217098432839                                                          Alan Barbosa3112196900000000146                                                        Maria da Silva01001047.85030502202431122024000000000000000000005555735678CD58004808245028420000000
2100000000014701012022202243931694153                                                      Joana dos Santos3112196900000000147                                                       Roberta Barbosa01000722.78090502202431122024000000000000000000009999176086CC22665449094528830000000
2100000000014801012022202261467381036                                                      Victor Czarnobay3112196900000000148                                                       Roberta Barbosa01000671.37100502202431122024000000000000000000009999018685PP70996379945759530000000
2100000000014901012022202288788029714                                                     Cristiano Ronaldo3112196900000000149                                                        Josefa Pereira01000590.11110502202431122024000000000000000000005555328691CD66586601455769330000000
2100000000015001012022202292324214017                                                      Joana dos Santos3112196900000000150                                                        Josefa Pereira01000748.12110502202431122024000000000000000000009999733612CD06860814084752330000000
2100000000015101012022202281381264731                                                       Roberta Barbosa3112196900000000151                                                       Roberta Barbosa01001138.68110502202431122024000000000000000000000000776665PP68336368903588110000000
2100000000015201012022202220140509912                                                        Pedro Monteiro3112196900000000152                                                        Josefa Pereira01001025.50020502202431122024000000000000000000000000587388PP78891747183596320000000
2100000000015301012022202242705521611                                                        Pedro Monteiro3112196900000000153                                                      Joana dos Santos01000574.23090502202431122024000000000000000000005555116463PP90178535677915830000000
2100000000015401012022202282425158335                                                       Roberta Barbosa3112196900000000154                                                       Roberta Barbosa01000214.66010502202431122024000000000000000000000000980256CC63804102141639730000000
2100000000015501012022202289559666677                                                      Joana dos Santos3112196900000000155                                                        Maria da Silva01000335.54110502202431122024000000000000000000005555007019PP25509218932806630000000
2100000000015601012022202218412660634                                                       Roberta Barbosa3112196900000000156                                                        Josefa Pereira01001198.14070502202431122024000000000000000000000000947035PP95111511279632510000000
2100000000015701012022202250227558408                                                        Maria da Silva3112196900000000157                                                      Joana dos Santos01000188.16120502202431122024000000000000000000000000893066PP32949624165676930000000
2100000000015801012022202211859289349                                                          Alan Barbosa3112196900000000158                                                       Roberta Barbosa01000980.71120502202431122024000000000000000000005555357547CC12200783515226210000000
2100000000015901012022202293043044576                                                       Carlos Fabrício3112196900000000159                                                        Maria da Silva01000121.00020502202431122024000000000000000000000000418664PP08457778904097630000000
2100000000016001012022202221579157173                                                      Victor Czarnobay3112196900000000160                                                        Maria da Silva01000847.48030502202431122024000000000000000000005555690531CD68805226323786230000000
